day,month,year,location,total_cases,total_vaccinations,new_cases
01,01,2021,Algeria,99897.0,0.0,287.0
01,01,2021,Angola,17568.0,0.0,15.0
01,01,2021,Benin,3251.0,0.0,0.0
01,01,2021,Botswana,14805.0,0.0,0.0
01,01,2021,Burkina Faso,6828.0,0.0,121.0
01,01,2021,Burundi,822.0,0.0,4.0
01,01,2021,Cameroon,26848.0,0.0,571.0
01,01,2021,Cape Verde,11872.0,0.0,32.0
01,01,2021,Central African Republic,4963.0,0.0,0.0
01,01,2021,Chad,2141.0,0.0,28.0
01,01,2021,Comoros,823.0,0.0,0.0
01,01,2021,Congo,7107.0,0.0,0.0
01,01,2021,Cote d'Ivoire,22563.0,0.0,73.0
01,01,2021,Democratic Republic of Congo,17849.0,0.0,191.0
01,01,2021,Djibouti,5840.0,0.0,9.0
01,01,2021,Egypt,139471.0,0.0,1409.0
01,01,2021,Equatorial Guinea,5277.0,0.0,0.0
01,01,2021,Eritrea,1320.0,0.0,0.0
01,01,2021,Eswatini,9482.0,0.0,124.0
01,01,2021,Ethiopia,124652.0,0.0,388.0
01,01,2021,Gabon,9571.0,0.0,0.0
01,01,2021,Gambia,3800.0,0.0,3.0
01,01,2021,Ghana,54930.0,0.0,159.0
01,01,2021,Guinea,13738.0,0.0,16.0
01,01,2021,Guinea-Bissau,2452.0,0.0,0.0
01,01,2021,Kenya,96614.0,0.0,156.0
01,01,2021,Lesotho,3206.0,0.0,112.0
01,01,2021,Liberia,1800.0,0.0,0.0
01,01,2021,Libya,100744.0,0.0,467.0
01,01,2021,Madagascar,17714.0,0.0,0.0
01,01,2021,Malawi,6684.0,0.0,101.0
01,01,2021,Mali,7203.0,0.0,113.0
01,01,2021,Mauritania,14581.0,0.0,217.0
01,01,2021,Mauritius,527.0,0.0,0.0
01,01,2021,Morocco,440970.0,0.0,1777.0
01,01,2021,Mozambique,18794.0,0.0,152.0
01,01,2021,Namibia,24545.0,0.0,604.0
01,01,2021,Niger,3403.0,0.0,80.0
