day,month,year,location,total_cases,total_vaccinations,new_cases
01,01,2021,Afghanistan,52513.0,0.0,183.0
01,01,2021,Armenia,159738.0,0.0,329.0
01,01,2021,Azerbaijan,219041.0,0.0,341.0
01,01,2021,Bahrain,92913.0,59351.0,238.0
01,01,2021,Bangladesh,514500.0,0.0,990.0
01,01,2021,Bhutan,689.0,0.0,19.0
01,01,2021,Brunei,157.0,0.0,0.0
01,01,2021,Cambodia,379.0,0.0,1.0
01,01,2021,China,87135.0,0.0,18.0
01,01,2021,Georgia,228410.0,0.0,990.0
01,01,2021,Hong Kong,8888.0,0.0,42.0
01,01,2021,India,10325823.0,0.0,39114.0
01,01,2021,Indonesia,751270.0,0.0,8072.0
01,01,2021,Iran,1231429.0,0.0,6287.0
01,01,2021,Iraq,596193.0,0.0,902.0
01,01,2021,Israel,428510.0,1062207.0,5248.0
01,01,2021,Japan,239068.0,0.0,3257.0
01,01,2021,Jordan,295765.0,0.0,1271.0
01,01,2021,Kazakhstan,202060.0,0.0,864.0
01,01,2021,Kuwait,150869.0,0.0,285.0
01,01,2021,Kyrgyzstan,81156.0,0.0,122.0
01,01,2021,Laos,41.0,0.0,0.0
01,01,2021,Lebanon,183888.0,0.0,2385.0
01,01,2021,Malaysia,115078.0,0.0,2068.0
01,01,2021,Maldives,13804.0,0.0,47.0
01,01,2021,Mongolia,1242.0,0.0,22.0
01,01,2021,Myanmar,125042.0,0.0,412.0
01,01,2021,Nepal,261019.0,0.0,426.0
01,01,2021,Oman,128867.0,0.0,0.0
01,01,2021,Pakistan,484362.0,0.0,2184.0
01,01,2021,Palestine,139223.0,0.0,1219.0
01,01,2021,Philippines,475820.0,0.0,1756.0
01,01,2021,Qatar,144042.0,0.0,208.0
01,01,2021,Saudi Arabia,362878.0,0.0,137.0
01,01,2021,Singapore,58629.0,0.0,30.0
01,01,2021,South Korea,62593.0,0.0,824.0
01,01,2021,Sri Lanka,43856.0,0.0,557.0
01,01,2021,Syria,11526.0,0.0,92.0
01,01,2021,Taiwan,802.0,0.0,3.0
01,01,2021,Tajikistan,13665.0,0.0,0.0
01,01,2021,Thailand,7379.0,0.0,216.0
01,01,2021,Timor,44.0,0.0,0.0
01,01,2021,Turkey,2220855.0,0.0,12203.0
01,01,2021,United Arab Emirates,209678.0,0.0,1856.0
01,01,2021,Uzbekistan,77182.0,0.0,122.0
01,01,2021,Vietnam,1474.0,0.0,9.0
01,01,2021,Yemen,2101.0,0.0,2.0
01,02,2020,Cambodia,1.0,0.0,0.0
01,02,2020,China,11878.0,0.0,2088.0
01,02,2020,Hong Kong,13.0,0.0,1.0
01,02,2020,India,1.0,0.0,0.0
01,02,2020,Japan,20.0,0.0,5.0
01,02,2020,Malaysia,8.0,0.0,0.0
01,02,2020,Nepal,1.0,0.0,0.0
01,02,2020,Philippines,1.0,0.0,0.0
01,02,2020,Singapore,16.0,0.0,3.0
01,02,2020,South Korea,12.0,0.0,1.0
01,02,2020,Sri Lanka,1.0,0.0,0.0
01,02,2020,Taiwan,10.0,0.0,0.0
01,02,2020,Thailand,19.0,0.0,0.0
01,02,2020,United Arab Emirates,4.0,0.0,0.0
01,02,2020,Vietnam,6.0,0.0,4.0
01,02,2021,Afghanistan,55059.0,0.0,36.0
01,02,2021,Armenia,167088.0,0.0,62.0
01,02,2021,Azerbaijan,230296.0,0.0,77.0
01,02,2021,Bahrain,103582.0,0.0,525.0
01,02,2021,Bangladesh,535582.0,0.0,443.0
01,02,2021,Bhutan,859.0,0.0,0.0
01,02,2021,Brunei,180.0,0.0,0.0
01,02,2021,Cambodia,466.0,0.0,0.0
01,02,2021,China,89641.0,0.0,30.0
01,02,2021,Georgia,258351.0,0.0,240.0
01,02,2021,Hong Kong,10486.0,0.0,34.0
01,02,2021,India,10766245.0,3950156.0,8635.0
01,02,2021,Indonesia,1089308.0,574938.0,10994.0
01,02,2021,Iran,1424596.0,0.0,6597.0
01,02,2021,Iraq,620620.0,0.0,984.0
01,02,2021,Israel,652246.0,5073503.0,8811.0
01,02,2021,Japan,391956.0,0.0,1790.0
01,02,2021,Jordan,328062.0,0.0,1207.0
01,02,2021,Kazakhstan,237029.0,0.0,1185.0
01,02,2021,Kuwait,165843.0,0.0,586.0
01,02,2021,Kyrgyzstan,84588.0,0.0,0.0
01,02,2021,Laos,44.0,0.0,0.0
01,02,2021,Lebanon,303072.0,0.0,2020.0
01,02,2021,Malaysia,219173.0,0.0,4214.0
01,02,2021,Maldives,16056.0,0.0,215.0
01,02,2021,Mongolia,1832.0,0.0,18.0
01,02,2021,Myanmar,140354.0,0.0,209.0
01,02,2021,Nepal,271118.0,113175.0,159.0
01,02,2021,Northern Cyprus,0.0,0.0,0.0
01,02,2021,Oman,134524.0,0.0,198.0
01,02,2021,Pakistan,547648.0,0.0,1220.0
01,02,2021,Palestine,159443.0,0.0,481.0
01,02,2021,Philippines,527272.0,0.0,1654.0
01,02,2021,Qatar,151720.0,0.0,385.0
01,02,2021,Saudi Arabia,368329.0,0.0,255.0
01,02,2021,Singapore,59565.0,0.0,29.0
01,02,2021,South Korea,78844.0,0.0,336.0
01,02,2021,Sri Lanka,64983.0,95550.0,826.0
01,02,2021,Syria,14096.0,0.0,48.0
01,02,2021,Taiwan,912.0,0.0,1.0
01,02,2021,Tajikistan,13714.0,0.0,0.0
01,02,2021,Thailand,20454.0,0.0,836.0
01,02,2021,Timor,70.0,0.0,0.0
01,02,2021,Turkey,2485182.0,2136299.0,7719.0
01,02,2021,United Arab Emirates,306339.0,3440777.0,2730.0
01,02,2021,Uzbekistan,78755.0,0.0,44.0
01,02,2021,Vietnam,1850.0,0.0,33.0
01,02,2021,Yemen,2122.0,0.0,1.0
01,03,2020,Afghanistan,5.0,0.0,0.0
01,03,2020,Armenia,1.0,0.0,1.0
01,03,2020,Azerbaijan,3.0,0.0,3.0
01,03,2020,Bahrain,47.0,0.0,6.0
01,03,2020,Cambodia,1.0,0.0,0.0
01,03,2020,China,79836.0,0.0,575.0
01,03,2020,Georgia,3.0,0.0,2.0
01,03,2020,Hong Kong,96.0,0.0,1.0
01,03,2020,India,3.0,0.0,0.0
01,03,2020,Iran,978.0,0.0,385.0
