day,month,year,location,total_cases,total_vaccinations,new_cases
01,01,2021,Albania,58316.0,0.0,0.0
01,01,2021,Andorra,8117.0,0.0,68.0
01,01,2021,Austria,362911.0,5086.0,2096.0
01,01,2021,Belarus,196223.0,0.0,1939.0
01,01,2021,Belgium,648289.0,895.0,1793.0
01,01,2021,Bosnia and Herzegovina,112143.0,0.0,1158.0
01,01,2021,Bulgaria,202540.0,4739.0,274.0
01,01,2021,Croatia,212007.0,0.0,1170.0
01,01,2021,Cyprus,23108.0,0.0,762.0
01,01,2021,Czechia,732022.0,12104.0,13361.0
01,01,2021,Denmark,166567.0,35368.0,2451.0
01,01,2021,Estonia,28406.0,2475.0,416.0
01,01,2021,Finland,36403.0,0.0,296.0
01,01,2021,France,2697018.0,1916.0,19358.0
01,01,2021,Germany,1762637.0,232520.0,2117.0
01,01,2021,Greece,139447.0,2603.0,597.0
01,01,2021,Hungary,325278.0,0.0,2764.0
01,01,2021,Iceland,5754.0,0.0,0.0
01,01,2021,Ireland,93532.0,0.0,1753.0
01,01,2021,Italy,2129376.0,51760.0,22210.0
01,01,2021,Kosovo,51502.0,0.0,358.0
01,01,2021,Latvia,41615.0,2337.0,711.0
01,01,2021,Liechtenstein,2175.0,0.0,39.0
01,01,2021,Lithuania,145430.0,9753.0,3475.0
01,01,2021,Luxembourg,46415.0,0.0,0.0
01,01,2021,Malta,12909.0,0.0,135.0
01,01,2021,Moldova,145258.0,0.0,440.0
01,01,2021,Monaco,885.0,0.0,10.0
01,01,2021,Montenegro,48589.0,0.0,342.0
01,01,2021,Netherlands,816616.0,0.0,8234.0
01,01,2021,North Macedonia,83743.0,0.0,414.0
01,01,2021,Norway,49803.0,2370.0,236.0
01,01,2021,Poland,1305774.0,0.0,10896.0
01,01,2021,Portugal,420629.0,32749.0,6951.0
01,01,2021,Romania,636201.0,11656.0,3938.0
01,01,2021,Russia,3153960.0,0.0,26613.0
01,01,2021,San Marino,2384.0,0.0,51.0
01,01,2021,Serbia,339997.0,0.0,2074.0
01,01,2021,Slovakia,184508.0,0.0,4965.0
01,01,2021,Slovenia,123950.0,11568.0,1798.0
01,01,2021,Spain,1928265.0,0.0,0.0
01,01,2021,Sweden,437379.0,0.0,0.0
01,01,2021,Switzerland,452296.0,6378.0,0.0
01,01,2021,Ukraine,1096855.0,0.0,9858.0
01,01,2021,United Kingdom,2549693.0,0.0,53458.0
01,01,2021,Vatican,27.0,0.0,0.0
01,02,2020,Finland,1.0,0.0,0.0
01,02,2020,France,6.0,0.0,1.0
01,02,2020,Germany,8.0,0.0,3.0
01,02,2020,Italy,2.0,0.0,0.0
01,02,2020,Russia,2.0,0.0,0.0
01,02,2020,Spain,1.0,0.0,1.0
01,02,2020,Sweden,1.0,0.0,1.0
01,02,2020,United Kingdom,2.0,0.0,0.0
01,02,2021,Albania,78992.0,0.0,865.0
01,02,2021,Andorra,9972.0,1036.0,35.0
01,02,2021,Austria,415522.0,266789.0,1124.0
01,02,2021,Belarus,249295.0,0.0,959.0
01,02,2021,Belgium,711417.0,350829.0,1264.0
01,02,2021,Bosnia and Herzegovina,122199.0,0.0,702.0
01,02,2021,Bulgaria,219580.0,42634.0,832.0
01,02,2021,Croatia,232520.0,83928.0,94.0
01,02,2021,Cyprus,31387.0,0.0,160.0
01,02,2021,Czechia,987329.0,292440.0,2555.0
01,02,2021,Denmark,199644.0,269881.0,488.0
01,02,2021,Estonia,44575.0,40146.0,367.0
