day,month,year,location,total_cases,total_vaccinations,new_cases
01,01,2020,Mexico,0.0,0.0,0.0
01,01,2021,Antigua and Barbuda,159.0,0.0,0.0
01,01,2021,Bahamas,7887.0,0.0,16.0
01,01,2021,Barbados,395.0,0.0,12.0
01,01,2021,Belize,10776.0,0.0,0.0
01,01,2021,Canada,591149.0,103790.0,3720.0
01,01,2021,Cayman Islands,0.0,0.0,0.0
01,01,2021,Costa Rica,169321.0,0.0,0.0
01,01,2021,Cuba,12056.0,0.0,193.0
01,01,2021,Dominica,88.0,0.0,0.0
01,01,2021,Dominican Republic,172218.0,0.0,1433.0
01,01,2021,El Salvador,46515.0,0.0,273.0
01,01,2021,Grenada,127.0,0.0,0.0
01,01,2021,Guatemala,138236.0,0.0,224.0
01,01,2021,Haiti,10015.0,0.0,16.0
01,01,2021,Honduras,122974.0,0.0,1147.0
01,01,2021,Jamaica,12915.0,0.0,88.0
01,01,2021,Mexico,1437185.0,0.0,11091.0
01,01,2021,Nicaragua,6046.0,0.0,0.0
01,01,2021,Panama,249733.0,0.0,2943.0
01,01,2021,Saint Kitts and Nevis,32.0,0.0,0.0
01,01,2021,Saint Lucia,353.0,0.0,0.0
01,01,2021,Saint Vincent and the Grenadines,121.0,0.0,0.0
01,01,2021,Trinidad and Tobago,7158.0,0.0,8.0
01,01,2021,United States,20318085.0,0.0,164678.0
01,02,2020,Canada,4.0,0.0,0.0
01,02,2020,Mexico,0.0,0.0,0.0
01,02,2020,United States,8.0,0.0,0.0
01,02,2021,Antigua and Barbuda,234.0,0.0,0.0
01,02,2021,Bahamas,8174.0,0.0,0.0
01,02,2021,Barbados,1558.0,0.0,13.0
01,02,2021,Belize,11945.0,0.0,37.0
01,02,2021,Bermuda,0.0,0.0,0.0
01,02,2021,Canada,788323.0,975492.0,4588.0
01,02,2021,Cayman Islands,0.0,0.0,0.0
01,02,2021,Costa Rica,194569.0,57701.0,1293.0
01,02,2021,Cuba,27592.0,0.0,906.0
01,02,2021,Dominica,117.0,0.0,0.0
01,02,2021,Dominican Republic,215086.0,0.0,1026.0
01,02,2021,El Salvador,55195.0,0.0,229.0
01,02,2021,Greenland,0.0,0.0,0.0
01,02,2021,Grenada,148.0,0.0,0.0
01,02,2021,Guatemala,159632.0,0.0,128.0
01,02,2021,Haiti,11533.0,0.0,0.0
01,02,2021,Honduras,147843.0,0.0,0.0
01,02,2021,Jamaica,15778.0,0.0,125.0
01,02,2021,Mexico,1869708.0,675202.0,5448.0
01,02,2021,Nicaragua,6253.0,0.0,0.0
01,02,2021,Panama,321103.0,10549.0,724.0
01,02,2021,Saint Kitts and Nevis,38.0,0.0,1.0
01,02,2021,Saint Lucia,1411.0,0.0,216.0
01,02,2021,Saint Vincent and the Grenadines,901.0,0.0,0.0
01,02,2021,Trinidad and Tobago,7566.0,0.0,2.0
01,02,2021,Turks and Caicos Islands,0.0,0.0,0.0
01,02,2021,United States,26430576.0,32222402.0,129608.0
01,03,2020,Canada,26.0,0.0,5.0
01,03,2020,Dominican Republic,1.0,0.0,1.0
01,03,2020,Guatemala,0.0,0.0,0.0
01,03,2020,Mexico,5.0,0.0,1.0
01,03,2020,United States,32.0,0.0,7.0
01,03,2021,Anguilla,0.0,0.0,0.0
01,03,2021,Antigua and Barbuda,769.0,0.0,39.0
01,03,2021,Bahamas,8519.0,0.0,0.0
01,03,2021,Barbados,3115.0,41125.0,47.0
01,03,2021,Belize,12313.0,0.0,20.0
01,03,2021,Bermuda,0.0,21387.0,0.0
01,03,2021,Canada,874909.0,1946200.0,3666.0
01,03,2021,Cayman Islands,0.0,0.0,0.0
01,03,2021,Costa Rica,205086.0,149812.0,745.0
01,03,2021,Cuba,50590.0,0.0,811.0
01,03,2021,Dominica,142.0,7202.0,0.0
01,03,2021,Dominican Republic,239998.0,60000.0,381.0
01,03,2021,El Salvador,60337.0,0.0,156.0
01,03,2021,Greenland,0.0,5130.0,0.0
01,03,2021,Grenada,148.0,0.0,0.0
01,03,2021,Guatemala,174653.0,2427.0,111.0
01,03,2021,Haiti,12448.0,0.0,18.0
01,03,2021,Honduras,170985.0,0.0,681.0
01,03,2021,Jamaica,23599.0,0.0,336.0
01,03,2021,Mexico,2089281.0,2526863.0,2343.0
