day,month,year,location,total_cases,total_vaccinations,new_cases
01,01,2021,Australia,28460.0,0.0,35.0
01,01,2021,Fiji,49.0,0.0,0.0
01,01,2021,Marshall Islands,4.0,0.0,0.0
01,01,2021,New Zealand,2162.0,0.0,0.0
01,01,2021,Papua New Guinea,780.0,0.0,0.0
01,01,2021,Samoa,2.0,0.0,0.0
01,01,2021,Solomon Islands,17.0,0.0,0.0
01,01,2021,Vanuatu,1.0,0.0,0.0
01,02,2020,Australia,12.0,0.0,3.0
01,02,2020,Fiji,0.0,0.0,0.0
01,02,2021,Australia,28823.0,0.0,5.0
01,02,2021,Fiji,55.0,0.0,0.0
01,02,2021,Marshall Islands,4.0,0.0,0.0
01,02,2021,Micronesia (country),1.0,0.0,0.0
01,02,2021,New Zealand,2307.0,0.0,3.0
01,02,2021,Papua New Guinea,867.0,0.0,16.0
01,02,2021,Samoa,2.0,0.0,0.0
01,02,2021,Solomon Islands,17.0,0.0,0.0
01,02,2021,Vanuatu,1.0,0.0,0.0
01,03,2020,Australia,27.0,0.0,2.0
01,03,2020,Fiji,0.0,0.0,0.0
01,03,2020,New Zealand,1.0,0.0,0.0
01,03,2021,Australia,28986.0,41907.0,8.0
01,03,2021,Fiji,59.0,0.0,0.0
01,03,2021,French Polynesia,0.0,9692.0,0.0
01,03,2021,Marshall Islands,4.0,0.0,0.0
01,03,2021,Micronesia (country),1.0,0.0,0.0
01,03,2021,New Caledonia,0.0,0.0,0.0
01,03,2021,New Zealand,2382.0,8125.0,4.0
01,03,2021,Papua New Guinea,1365.0,0.0,90.0
01,03,2021,Samoa,3.0,0.0,0.0
01,03,2021,Solomon Islands,18.0,0.0,0.0
01,03,2021,Vanuatu,1.0,0.0,0.0
01,04,2020,Australia,4862.0,0.0,303.0
01,04,2020,Fiji,5.0,0.0,0.0
01,04,2020,New Zealand,708.0,0.0,61.0
01,04,2020,Papua New Guinea,1.0,0.0,0.0
01,04,2021,Australia,29333.0,823611.0,11.0
01,04,2021,Fiji,67.0,0.0,0.0
01,04,2021,French Polynesia,0.0,0.0,0.0
01,04,2021,Marshall Islands,4.0,0.0,0.0
01,04,2021,Micronesia (country),1.0,0.0,0.0
01,04,2021,New Caledonia,0.0,0.0,0.0
01,04,2021,New Zealand,2501.0,80160.0,0.0
01,04,2021,Papua New Guinea,6112.0,0.0,121.0
01,04,2021,Samoa,3.0,0.0,0.0
01,04,2021,Solomon Islands,19.0,0.0,0.0
01,04,2021,Vanuatu,3.0,0.0,0.0
01,04,2021,Wallis and Futuna,0.0,0.0,0.0
01,05,2020,Australia,6778.0,0.0,12.0
01,05,2020,Fiji,18.0,0.0,0.0
01,05,2020,New Zealand,1485.0,0.0,6.0
01,05,2020,Papua New Guinea,8.0,0.0,0.0
01,05,2021,Australia,29824.0,2254074.0,13.0
01,05,2021,Fiji,119.0,0.0,2.0
01,05,2021,French Polynesia,0.0,0.0,0.0
01,05,2021,Marshall Islands,4.0,0.0,0.0
01,05,2021,Micronesia (country),1.0,0.0,0.0
01,05,2021,Nauru,0.0,0.0,0.0
01,05,2021,New Caledonia,0.0,0.0,0.0
01,05,2021,New Zealand,2618.0,281192.0,5.0
01,05,2021,Papua New Guinea,11119.0,0.0,122.0
01,05,2021,Samoa,3.0,0.0,0.0
01,05,2021,Solomon Islands,20.0,0.0,0.0
01,05,2021,Tonga,0.0,0.0,0.0
01,05,2021,Tuvalu,0.0,0.0,0.0
01,05,2021,Vanuatu,4.0,0.0,0.0
01,05,2021,Wallis and Futuna,0.0,0.0,0.0
01,06,2020,Australia,7221.0,0.0,19.0
01,06,2020,Fiji,18.0,0.0,0.0
01,06,2020,New Zealand,1504.0,0.0,0.0
01,06,2020,Papua New Guinea,8.0,0.0,0.0
01,06,2021,Australia,30124.0,4501444.0,6.0
01,06,2021,Cook Islands,0.0,8291.0,0.0
01,06,2021,Fiji,464.0,136247.0,26.0
01,06,2021,French Polynesia,0.0,103252.0,0.0
01,06,2021,Kiribati,2.0,0.0,0.0
01,06,2021,Marshall Islands,4.0,0.0,0.0
01,06,2021,Micronesia (country),1.0,0.0,0.0
01,06,2021,Nauru,0.0,0.0,0.0
01,06,2021,New Caledonia,0.0,92594.0,0.0
01,06,2021,New Zealand,2680.0,671411.0,6.0
01,06,2021,Papua New Guinea,15910.0,30000.0,0.0
01,06,2021,Samoa,3.0,32627.0,0.0
01,06,2021,Solomon Islands,20.0,0.0,0.0
01,06,2021,Tonga,0.0,0.0,0.0
01,06,2021,Tuvalu,0.0,2400.0,0.0
01,06,2021,Vanuatu,4.0,0.0,0.0
01,06,2021,Wallis and Futuna,0.0,8365.0,0.0
01,07,2020,Australia,8001.0,0.0,81.0
01,07,2020,Fiji,18.0,0.0,0.0
