day,month,year,location,total_cases,total_vaccinations,new_cases
01,01,2020,Argentina,0.0,0.0,0.0
01,01,2020,Peru,0.0,0.0,0.0
01,01,2021,Argentina,1629594.0,0.0,4080.0
01,01,2021,Bolivia,160985.0,0.0,861.0
01,01,2021,Brazil,7700578.0,0.0,24605.0
01,01,2021,Chile,612564.0,8656.0,3591.0
01,01,2021,Colombia,1654880.0,0.0,12105.0
01,01,2021,Ecuador,213378.0,0.0,866.0
01,01,2021,Guyana,6348.0,0.0,16.0
01,01,2021,Paraguay,108349.0,0.0,417.0
01,01,2021,Peru,1015137.0,0.0,0.0
01,01,2021,Suriname,6277.0,0.0,67.0
01,01,2021,Uruguay,19753.0,0.0,634.0
01,01,2021,Venezuela,113884.0,0.0,326.0
01,02,2020,Argentina,0.0,0.0,0.0
01,02,2020,Peru,0.0,0.0,0.0
01,02,2021,Argentina,1933853.0,375851.0,6614.0
01,02,2021,Bolivia,218299.0,570.0,1464.0
01,02,2021,Brazil,9229322.0,2124307.0,24591.0
01,02,2021,Chile,730888.0,67452.0,3779.0
01,02,2021,Colombia,2104506.0,0.0,9622.0
01,02,2021,Ecuador,250986.0,8521.0,158.0
01,02,2021,Guyana,7654.0,0.0,13.0
01,02,2021,Paraguay,133781.0,0.0,554.0
01,02,2021,Peru,1138239.0,0.0,0.0
01,02,2021,Suriname,8449.0,0.0,11.0
01,02,2021,Uruguay,42128.0,0.0,390.0
01,02,2021,Venezuela,127346.0,0.0,419.0
01,03,2020,Argentina,0.0,0.0,0.0
01,03,2020,Brazil,2.0,0.0,0.0
01,03,2020,Chile,9.0,0.0,7.0
01,03,2020,Ecuador,6.0,0.0,6.0
01,03,2020,Peru,0.0,0.0,0.0
01,03,2021,Argentina,2112023.0,1049169.0,4658.0
01,03,2021,Bolivia,249767.0,0.0,757.0
01,03,2021,Brazil,10587001.0,8465403.0,35742.0
01,03,2021,Chile,829770.0,3510354.0,5145.0
01,03,2021,Colombia,2255260.0,149133.0,3570.0
01,03,2021,Ecuador,286367.0,77022.0,212.0
01,03,2021,Falkland Islands,0.0,0.0,0.0
01,03,2021,Guyana,8595.0,0.0,10.0
01,03,2021,Paraguay,160448.0,1523.0,974.0
01,03,2021,Peru,1329805.0,331480.0,5942.0
01,03,2021,Suriname,8933.0,0.0,4.0
01,03,2021,Uruguay,58589.0,18406.0,595.0
01,03,2021,Venezuela,139545.0,0.0,429.0
01,04,2020,Argentina,1054.0,0.0,0.0
01,04,2020,Bolivia,115.0,0.0,8.0
01,04,2020,Brazil,6836.0,0.0,1119.0
01,04,2020,Chile,3137.0,0.0,293.0
01,04,2020,Colombia,1065.0,0.0,159.0
01,04,2020,Ecuador,2748.0,0.0,508.0
01,04,2020,Guyana,19.0,0.0,7.0
01,04,2020,Paraguay,77.0,0.0,8.0
01,04,2020,Peru,1323.0,0.0,258.0
01,04,2020,Suriname,10.0,0.0,1.0
01,04,2020,Uruguay,350.0,0.0,12.0
01,04,2020,Venezuela,143.0,0.0,8.0
01,04,2021,Argentina,2363251.0,4023017.0,14430.0
01,04,2021,Bolivia,273327.0,318115.0,916.0
01,04,2021,Brazil,12839844.0,0.0,91097.0
01,04,2021,Chile,1003406.0,10803420.0,7868.0
01,04,2021,Colombia,2417826.0,2300890.0,11449.0
01,04,2021,Ecuador,330388.0,501924.0,1633.0
01,04,2021,Falkland Islands,0.0,0.0,0.0
01,04,2021,Guyana,10375.0,0.0,126.0
01,04,2021,Paraguay,216278.0,46419.0,1611.0
01,04,2021,Peru,1561723.0,1052061.0,12916.0
01,04,2021,Suriname,9122.0,0.0,0.0
01,04,2021,Uruguay,108188.0,734916.0,2639.0
01,04,2021,Venezuela,161751.0,0.0,1254.0
01,05,2020,Argentina,4532.0,0.0,104.0
01,05,2020,Bolivia,1229.0,0.0,62.0
01,05,2020,Brazil,92202.0,0.0,5015.0
01,05,2020,Chile,18687.0,0.0,985.0
01,05,2020,Colombia,7006.0,0.0,499.0
01,05,2020,Ecuador,26336.0,0.0,1402.0
01,05,2020,Guyana,82.0,0.0,0.0
01,05,2020,Paraguay,333.0,0.0,67.0
01,05,2020,Peru,40459.0,0.0,3483.0
01,05,2020,Suriname,10.0,0.0,0.0
01,05,2020,Uruguay,648.0,0.0,5.0
01,05,2020,Venezuela,335.0,0.0,2.0
01,05,2021,Argentina,2993865.0,7971470.0,16502.0
01,05,2021,Bolivia,306527.0,848149.0,2795.0
01,05,2021,Brazil,14725975.0,43036179.0,66964.0
01,05,2021,Chile,1203755.0,14937043.0,5510.0
01,05,2021,Colombia,2877746.0,5112694.0,18022.0
01,05,2021,Ecuador,384589.0,1556520.0,2727.0
01,05,2021,Guyana,13404.0,0.0,121.0
01,05,2021,Paraguay,281023.0,135374.0,1946.0
01,05,2021,Peru,1799445.0,1888867.0,0.0
01,05,2021,Suriname,10428.0,39953.0,65.0
01,05,2021,Uruguay,200908.0,1871526.0,2480.0
01,05,2021,Venezuela,198865.0,0.0,1182.0
01,06,2020,Argentina,17415.0,0.0,564.0
01,06,2020,Bolivia,10531.0,0.0,549.0
01,06,2020,Brazil,526447.0,0.0,11598.0
01,06,2020,Chile,129020.0,0.0,5470.0
01,06,2020,Colombia,30493.0,0.0,1110.0
01,06,2020,Ecuador,39098.0,0.0,0.0
01,06,2020,Guyana,153.0,0.0,0.0
01,06,2020,Paraguay,995.0,0.0,9.0
01,06,2020,Peru,170039.0,0.0,5563.0
01,06,2020,Suriname,44.0,0.0,21.0
01,06,2020,Uruguay,825.0,0.0,2.0
01,06,2020,Venezuela,1662.0,0.0,152.0
01,06,2021,Argentina,3817139.0,12497078.0,35355.0
01,06,2021,Bolivia,374718.0,1729799.0,3439.0
01,06,2021,Brazil,16624480.0,68244216.0,78926.0
01,06,2021,Chile,1389357.0,18996395.0,5011.0
01,06,2021,Colombia,3432422.0,10382967.0,25966.0
01,06,2021,Ecuador,427690.0,2947090.0,1653.0
01,06,2021,Guyana,17114.0,0.0,162.0
01,06,2021,Paraguay,358244.0,453294.0,2860.0
01,06,2021,Peru,1955469.0,4442025.0,0.0
01,06,2021,Suriname,15128.0,85174.0,174.0
01,06,2021,Uruguay,298006.0,2887836.0,3503.0
01,06,2021,Venezuela,235567.0,0.0,1402.0
01,07,2020,Argentina,67197.0,0.0,2667.0
01,07,2020,Bolivia,34227.0,0.0,1008.0
01,07,2020,Brazil,1448753.0,0.0,46712.0
01,07,2020,Chile,282043.0,0.0,2650.0
01,07,2020,Colombia,102009.0,0.0,4163.0
01,07,2020,Ecuador,58257.0,0.0,1825.0
